year,board start,board end,index start,index end,new members start,new members end,alphabetic list start,alphabetic list end,advertisement,start,end,excluded pages
1921,5,6,11,54,55,55,57,66,,1,69,"1,2,3,4,7,8,9,10,67,68,69"
1922,17,18,19,70,71,71,85,92,,,97,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,71,73,74,75,76,77,78,79,80,81,82,83,84,93,94,95,96,97"
1923,22,22,23,65,,,11,21,,,76,"1,2,3,4,5,6,7,8,9,10,14,66,67,68,69,70,71,72,73,74,75,76"
1925,,,15,52,,,9,14,,,57,"1,2,3,4,5,6,7,8,53,54,55,56,57"
1927,,,12,44,,,7,11,,,49,"1,2,3,4,5,6,45,46,47,48,49"
1929,14,14,15,44,,,9,13,,,49,"1,2,3,4,5,6,7,8,45,46,47,48,49"
1931,14,14,15,46,,,9,13,,,49,"1,2,3,4,5,6,7,8,45,46,47,48,49"
1935,9,9,10,42,,,5,7,,,45,"1,2,3,4,8,43,44,45"
1937,9,9,10,39,,,6,8,,,57,"1,2,3,4,5,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57"
1938,9,9,10,42,,,6,8,,,61,"1,2,3,4,5,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61"
1948,36,36,37,186,,,9,35,"10,12,14,18,20,22,26,30,34,38,44,46,54,56,60,78,94,112,118,122,128,138,144,150,154,162,174,176",1,189,"1,2,3,4,5,6,7,8,10,12,14,18,20,22,26,30,34,38,44,46,54,56,60,78,94,112,118,122,128,138,144,150,154,162,174,176,187,188,189"
1951,26,26,27,80,81,82,9,25,"10,12,14,30,34,38,46",1,85,"1,2,3,4,5,6,7,8,10,12,14,30,34,38,46,81,82,83,84,85"
1958,,,29,105,,,11,27,"13,15,17,19,21,23,28,33,35,37,39,43,50,52,57,58,59,60,62,63,67,71,75,82,85,95,",1,109,"1,2,3,4,5,6,7,8,9,10,13,15,17,19,21,23,28,33,35,37,39,43,50,52,57,58,59,60,62,63,67,71,75,82,85,95,106,107,108,109"